State,Sex,Year,Name,Number,Percent
TIRANE,F,2013,Mikaela Faith,1,0.01
TIRANE,F,2013,Mikea,1,0.01
TIRANE,F,2013,Mikela,1,0.01
TIRANE,F,2013,Mikita,1,0.01
TIRANE,F,2013,Mila,3,0.02
TIRANE,F,2013,Milena,3,0.02
TIRANE,F,2013,Mileva,1,0.01
TIRANE,F,2013,Mimoza,1,0.01
TIRANE,F,2013,Mirej,1,0.01
TIRANE,F,2013,Mirela,2,0.01
TIRANE,F,2013,Mirofora,1,0.01
TIRANE,F,2013,Mirsa,3,0.02
TIRANE,F,2013,Mischel,1,0.01
TIRANE,F,2013,Misela,1,0.01
TIRANE,F,2013,Mishel,12,0.07
TIRANE,F,2013,Mishela,1,0.01
TIRANE,F,2013,Monika,1,0.01
TIRANE,F,2013,Mubera,1,0.01
TIRANE,F,2013,Munira,1,0.01
TIRANE,F,2013,Munise Nuriye,1,0.01
TIRANE,F,2013,Myrvete,1,0.01
TIRANE,F,2013,Nadia,2,0.01
TIRANE,F,2013,Nadire,1,0.01
TIRANE,F,2013,Nadja,1,0.01
TIRANE,F,2013,Naila,1,0.01
TIRANE,F,2013,Naile,1,0.01
TIRANE,F,2013,Nairah,1,0.01
TIRANE,F,2013,Naisa,1,0.01
TIRANE,F,2013,Najla,1,0.01
TIRANE,F,2013,Nanerli,1,0.01
TIRANE,F,2013,Nasibe,1,0.01
TIRANE,F,2013,Natali,9,0.05
TIRANE,F,2013,Natali Altea,1,0.01
TIRANE,F,2013,Natalia,3,0.02
TIRANE,F,2013,Natalie,1,0.01
TIRANE,F,2013,Nausika,1,0.01
TIRANE,F,2013,Naxhie,1,0.01
TIRANE,F,2013,Nazmije,1,0.01
TIRANE,F,2013,Nderime,1,0.01
TIRANE,F,2013,Neara,1,0.01
TIRANE,F,2013,Neha,1,0.01
TIRANE,F,2013,Neis,1,0.01
TIRANE,F,2013,Nejra,1,0.01
TIRANE,F,2013,Nemire,1,0.01
TIRANE,F,2013,Nensi,2,0.01
